Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
3618 Robinson Rd NE,33.973749,-84.445096,4,2.5,"2,725","$315,000 ","4 bed, 2.5 bath townhouse in 3618 Robinson Rd NE",18.04465677,18.03176783,20.24002101,0.893684076,Cobb
4128 Glenaire Way NW,34.057746,-84.611328,3,2.5,"2,276","$239,900 ","3 bed, 2.5 bath townhouse in 4128 Glenaire Way NW",28.62595078,30.07605069,37.51801314,0.513300536,Cobb
2501 Haddenham Ln SW,33.856819,-84.559722,5,2.5,"2,941","$317,900 ","5 bed, 2.5 bath townhouse in 2501 Haddenham Ln SW",18.95284828,16.94024267,21.92481631,0.990423837,Cobb
2538 Hampton Valley Dr SW,33.89319,-84.608202,5,1.5,"2,333","$200,000 ","5 bed, 1.5 bath townhouse in 2538 Hampton Valley Dr SW",21.09704055,21.16527474,28.24799755,0.735440056,Cobb
1831 Tree Top Way,33.994777,-84.492164,3,2,"1,418","$249,900 ","3 bed, 2 bath townhouse in 1831 Tree Top Way",19.90846308,20.48472171,24.69073433,0.764696725,Cobb
3403 Hampreston Way NW,34.039325,-84.643791,3,3,"2,239","$235,000 ","3 bed, 3 bath townhouse in 3403 Hampreston Way NW",24.28746394,30.91356224,38.9914687,0.498808393,Cobb
3205 Caley Mill Dr,33.874878,-84.653332,3,2,"1,452","$109,900 ","3 bed, 2 bath townhouse in 3205 Caley Mill Dr",25.49256079,26.81920003,32.12323839,0.64279435,Cobb
2220 Heathermoor Hill Dr,34.003147,-84.400794,5,6,"10,868","$1,649,000 ","5 bed, 6 bath townhouse in 2220 Heathermoor Hill Dr",19.9174131,19.06715102,20.60573082,0.805642057,Cobb
1813 Willow Branch Ln NW,33.995265,-84.588493,2,2.5,"1,624","$165,000 ","2 bed, 2.5 bath townhouse in 1813 Willow Branch Ln NW",25.29934477,21.97689929,31.78460001,0.618958915,Cobb
700 Alexander Farms Ln SW,33.937799,-84.630702,4,2.5,"3,125","$350,000 ","4 bed, 2.5 bath townhouse in 700 Alexander Farms Ln SW",25.87055672,24.54091447,32.40801939,0.624187997,Cobb
2592 Loring Rd NW,34.014694,-84.660685,4,2.5,"2,724","$253,900 ","4 bed, 2.5 bath townhouse in 2592 Loring Rd NW",29.0407551,30.89186232,39.04970137,0.502368798,Cobb
350 Oak Ridge Dr SE,33.928974,-84.542755,9,6,"4,018","$250,000 ","9 bed, 6 bath townhouse in 350 Oak Ridge Dr SE",18.26376456,17.39592185,24.04249591,0.846139594,Cobb
2372 Ventura Rd SE,33.895149,-84.53782,&nbsp;,&nbsp;,"1,938","$129,900 ","NA bed, NA bath townhouse in 2372 Ventura Rd SE",16.16600228,15.57977715,21.70269774,0.966007602,Cobb
500 Haley St SE,33.944969,-84.538192,4,2.5,"2,063","$299,900 ","4 bed, 2.5 bath townhouse in 500 Haley St SE",18.0277682,17.12882877,24.62680017,0.814632564,Cobb
5156 Proctor Lndg NW,34.054054,-84.69944,4,2.5,"1,834","$205,000 ","4 bed, 2.5 bath townhouse in 5156 Proctor Lndg NW",35.84243009,38.41505023,44.60994059,0.435095707,Cobb
307 Alderman Trce,33.782024,-84.555541,4,3,"1,524","$175,000 ","4 bed, 3 bath townhouse in 307 Alderman Trce",19.95950191,19.02375997,18.85103495,1.240638341,Cobb
