Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
1360 Harvard Rd NE,33.793594,-84.334892,4,3.5,"3,145","$1,189,000 ","4 bed, 3.5 bath townhouse in 1360 Harvard Rd NE",13.38167565,4.857252977,8.128090614,2.256926774,Fulton
2572 Gresham Rd SE,33.712963,-84.309288,&nbsp;,&nbsp;,"3,400","$299,950 ","NA bed, NA bath townhouse in 2572 Gresham Rd SE",12.84821481,13.26555179,10.92526601,1.645340454,Fulton
2726 Elkmont Rdg SW,33.680904,-84.620803,5,3,"3,584","$172,500 ","5 bed, 3 bath townhouse in 2726 Elkmont Rdg SW",29.46034771,29.72231347,26.11289195,0.806227969,Fulton
1401 Garmon Ferry Rd NW,33.87112,-84.427154,4,6,"6,141","$1,295,000 ","4 bed, 6 bath townhouse in 1401 Garmon Ferry Rd NW",16.06511382,10.79459461,12.19473834,1.732213721,Fulton
340 Spring Lake Ter,33.998122,-84.317817,5,4.5,"4,580","$479,000 ","5 bed, 4.5 bath townhouse in 340 Spring Lake Ter",19.21783669,17.72518954,18.32300419,0.754954976,Fulton
5550 Feldwood Rd,33.604538,-84.516655,2,2.5,"1,598","$450,000 ","2 bed, 2.5 bath townhouse in 5550 Feldwood Rd",22.13407258,24.70304446,18.28300637,1.086863345,Fulton
898 Oak St SW,33.740028,-84.41687,1,1,696,"$63,900 ","1 bed, 1 bath townhouse in 898 Oak St SW",11.6962175,10.31498582,5.485157743,4.921718914,Fulton
500 Sun Valley Dr,34.052635,-84.34053,&nbsp;,&nbsp;,"1,136","$115,000 ","NA bed, NA bath townhouse in 500 Sun Valley Dr",22.55838529,19.45971307,24.14574642,0.646274907,Fulton
1361 Normandy Dr NE,33.786832,-84.342249,5,4.5,"3,792","$875,000 ","5 bed, 4.5 bath townhouse in 1361 Normandy Dr NE",13.26097479,4.426882413,7.960996638,2.58283081,Fulton
4238 Sir Dixon Dr,33.642005,-84.633583,4,2.5,"3,327","$214,900 ","4 bed, 2.5 bath townhouse in 4238 Sir Dixon Dr",32.07504362,32.81582906,28.72517723,0.720620244,Fulton
7255 Devonhall Way,34.050881,-84.14659,6,4,"3,511","$410,000 ","6 bed, 4 bath townhouse in 7255 Devonhall Way",26.93526574,27.27409182,33.32207578,0.459801848,Fulton
1565 Heritage Trl,34.008311,-84.361867,4,3,"2,899","$449,900 ","4 bed, 3 bath townhouse in 1565 Heritage Trl",20.20513292,18.54192002,19.97724218,0.773307688,Fulton
2519 Grey Moss Ct,33.989847,-84.109603,5,4.5,"5,000","$999,000 ","5 bed, 4.5 bath townhouse in 2519 Grey Moss Ct",24.62190812,26.6245606,32.96769201,0.463004751,Fulton
2845 Arden Rd NW,33.832431,-84.408409,5,5,"6,351","$1,699,000 ","5 bed, 5 bath townhouse in 2845 Arden Rd NW",13.468029,8.471852671,9.348217134,2.618307118,Fulton
3323 Chipping Wood Ct,34.13438,-84.262214,5,4.5,"5,351","$575,000 ","5 bed, 4.5 bath townhouse in 3323 Chipping Wood Ct",30.91608931,30.29944706,33.50614527,0.474431925,Fulton
6470 Stapleford Ln,34.047113,-84.17297,4,2.5,"2,368","$320,000 ","4 bed, 2.5 bath townhouse in 6470 Stapleford Ln",25.01275977,26.25898653,30.89956811,0.488752919,Fulton
2100 Dekalb Ave NE,33.76395,-84.318766,5,4,"3,000","$599,900 ","5 bed, 4 bath townhouse in 2100 Dekalb Ave NE",12.22713358,8.223609511,8.908399174,2.155546114,Fulton
1280 W Peachtree St NW,33.788311,-84.389191,&nbsp;,1,457,"$109,900 ","NA bed, 1 bath townhouse in 1280 W Peachtree St NW",14.06124912,5.665640477,6.232121374,4.738014794,Fulton
11265 Quailbrook Chase,34.053618,-84.148089,4,2.5,"2,732","$349,900 ","4 bed, 2.5 bath townhouse in 11265 Quailbrook Chase",27.11267005,27.56022078,33.39062298,0.459172458,Fulton
6450 Cedar Grove Rd,33.581802,-84.628448,4,2.5,"2,926","$269,900 ","4 bed, 2.5 bath townhouse in 6450 Cedar Grove Rd",31.64034053,35.65313318,30.9604902,0.659475752,Fulton
2793 Harrington Pl SW,33.735858,-84.479454,4,3,"1,611","$169,900 ","4 bed, 3 bath townhouse in 2793 Harrington Pl SW",14.73602569,14.91438615,9.955214538,2.615980984,Fulton
505 Portrait Cir,34.062412,-84.215645,4,2.5,"2,700","$445,900 ","4 bed, 2.5 bath townhouse in 505 Portrait Cir",22.81234684,26.67411395,29.07270306,0.516691625,Fulton
1983 Woodsdale Rd NE,33.841305,-84.348118,4,3.5,"4,361","$824,900 ","4 bed, 3.5 bath townhouse in 1983 Woodsdale Rd NE",14.52027517,8.659861697,7.327522902,2.140105065,Fulton
10625 Kingsmark Trl,34.04121,-84.247498,6,5.5,"3,948","$479,900 ","6 bed, 5.5 bath townhouse in 10625 Kingsmark Trl",22.70439158,23.81421388,25.20321897,0.577166404,Fulton
610 Falls Bay Ct,34.022736,-84.242744,6,5,"5,485","$875,000 ","6 bed, 5 bath townhouse in 610 Falls Bay Ct",21.71068841,22.91085714,23.69134794,0.598260817,Fulton
8440 Royal Troon Dr,34.063285,-84.133514,5,5,"5,632","$590,000 ","5 bed, 5 bath townhouse in 8440 Royal Troon Dr",28.61610659,29.53856771,35.26789852,0.439225205,Fulton
3533 Roxboro Rd NE,33.851228,-84.356647,3,4.5,"2,696","$799,000 ","3 bed, 4.5 bath townhouse in 3533 Roxboro Rd NE",15.46679066,9.2430724,8.910876265,2.391518607,Fulton
215 Bunratty Ct,33.989628,-84.302272,6,7.5,"6,161","$1,000,000 ","6 bed, 7.5 bath townhouse in 215 Bunratty Ct",19.46484574,17.53694583,17.17401933,0.753647516,Fulton
3750 Cochran Rd,33.656837,-84.65863,3,1,"1,362","$159,900 ","3 bed, 1 bath townhouse in 3750 Cochran Rd",34.08735446,34.44807666,31.28355929,0.662466026,Fulton
825 Hampton Bluff Dr,34.152523,-84.322158,6,4.5,"7,248","$739,000 ","6 bed, 4.5 bath townhouse in 825 Hampton Bluff Dr",31.7316787,30.41044141,34.00924378,0.482461688,Fulton
13560 Blakmaral Ln,34.113876,-84.359733,6,8.5,"15,000","$3,750,000 ","6 bed, 8.5 bath townhouse in 13560 Blakmaral Ln",27.66898489,26.64810066,30.2456952,0.545818225,Fulton
320 Brooks Ave SW,33.746992,-84.458572,4,2,"1,536","$69,425 ","4 bed, 2 bath townhouse in 320 Brooks Ave SW",13.81186057,13.36558777,8.265176747,3.213940185,Fulton
437 Westmeath Dr SW,33.743695,-84.446271,3,2,"1,690","$234,000 ","3 bed, 2 bath townhouse in 437 Westmeath Dr SW",13.36308827,12.65650915,7.252654537,3.773213356,Fulton
243 Peyton Pl SW,33.751266,-84.476951,3,1.5,"1,134","$38,000 ","3 bed, 1.5 bath townhouse in 243 Peyton Pl SW",13.61827917,13.97439417,9.798678478,3.021782546,Fulton
575 Laurel Oaks Ln,34.122013,-84.285059,6,6.5,"4,475","$825,000 ","6 bed, 6.5 bath townhouse in 575 Laurel Oaks Ln",29.23027037,28.15615729,31.66453237,0.501431989,Fulton
2617 Ivydale Dr SW,33.700033,-84.474085,3,1,"1,026","$80,000 ","3 bed, 1 bath townhouse in 2617 Ivydale Dr SW",15.48288235,16.3236533,8.811761579,2.512862567,Fulton
2281 Bransley Pl,34.007285,-84.115726,6,6,"7,122","$975,000 ","6 bed, 6 bath townhouse in 2281 Bransley Pl",24.80014246,26.33103327,33.31950648,0.458887986,Fulton
5320 Taylor Rd,34.047816,-84.205005,3,2.5,"2,258","$300,000 ","3 bed, 2.5 bath townhouse in 5320 Taylor Rd",18.27570051,25.98878549,28.53186841,0.521624093,Fulton
2479 Peachtree Rd NE,33.822494,-84.38652,1,1,837,"$134,900 ","1 bed, 1 bath townhouse in 2479 Peachtree Rd NE",14.26756604,7.139157829,7.562003547,3.124280541,Fulton
3109 Rockingham Dr NW,33.838071,-84.416191,5,4,"2,935","$975,000 ","5 bed, 4 bath townhouse in 3109 Rockingham Dr NW",15.33904134,8.080858751,9.944047977,2.402903683,Fulton
2255 Peachtree Rd NE,33.815464,-84.390602,1,1,792,"$189,900 ","1 bed, 1 bath townhouse in 2255 Peachtree Rd NE",14.22789182,5.312718305,6.645990299,3.330824028,Fulton
10170 Autry Mill Rd,34.027445,-84.232119,6,6.5,"8,993","$1,399,000 ","6 bed, 6.5 bath townhouse in 10170 Autry Mill Rd",21.72296206,23.71420296,24.84510967,0.577846315,Fulton
1138 Country Ln NE,33.814401,-84.342845,2,1,"1,080","$319,900 ","2 bed, 1 bath townhouse in 1138 Country Ln NE",13.5684548,6.848911689,8.091340836,2.269849473,Fulton
240 Foxley Way,34.073844,-84.416679,5,4,"3,480","$459,900 ","5 bed, 4 bath townhouse in 240 Foxley Way",24.19918117,24.85037263,27.60471342,0.622602631,Fulton
100 Keswick Way,34.031739,-84.240219,6,5,"3,750","$589,000 ","6 bed, 5 bath townhouse in 100 Keswick Way",21.6645386,23.5913208,24.71891503,0.581984547,Fulton
3850 Falls Landing Dr,34.022277,-84.245419,4,5,"4,518","$685,000 ","4 bed, 5 bath townhouse in 3850 Falls Landing Dr",21.65661003,22.7435809,23.47414143,0.602482821,Fulton
2053 Sylvan Rd SW,33.698448,-84.418701,&nbsp;,&nbsp;,"1,336","$230,000 ","NA bed, NA bath townhouse in 2053 Sylvan Rd SW",13.3175938,12.03152639,6.133903235,3.358024405,Fulton
2854 Kingsland Ct SE,33.860106,-84.468612,4,3.5,"4,644","$549,500 ","4 bed, 3.5 bath townhouse in 2854 Kingsland Ct SE",17.35813701,11.98019386,13.44626832,1.563973052,Fulton
3840 N Stratford Rd NE,33.860798,-84.365128,5,3.5,"3,202","$819,999 ","5 bed, 3.5 bath townhouse in 3840 N Stratford Rd NE",15.85942791,9.648307782,9.36827466,2.315293727,Fulton
245 Devon Mill Ct,34.069427,-84.186387,5,2.5,"3,060","$429,900 ","5 bed, 2.5 bath townhouse in 245 Devon Mill Ct",25.19258119,28.12845554,31.64089628,0.481769069,Fulton
2465 Fairburn Rd SW,33.687828,-84.513184,3,1,"1,140","$67,000 ","3 bed, 1 bath townhouse in 2465 Fairburn Rd SW",18.36712297,19.90015029,12.04020627,2.115742666,Fulton
1414 Spyglass Hill Dr,34.032108,-84.171913,4,4.5,"4,559","$729,900 ","4 bed, 4.5 bath townhouse in 1414 Spyglass Hill Dr",24.17926026,24.46500533,29.86778673,0.500996562,Fulton
319 Delmont Dr NE,33.832459,-84.376454,3,3,"2,023","$689,000 ","3 bed, 3 bath townhouse in 319 Delmont Dr NE",13.97750307,8.322131337,8.669746212,3.11611468,Fulton
3050 Margaret Mitchell Dr NW,33.838993,-84.430466,3,3.5,"2,088","$310,000 ","3 bed, 3.5 bath townhouse in 3050 Margaret Mitchell Dr NW",15.68242912,5.364652944,10.28497567,2.29286663,Fulton
13850 Belleterre Dr,34.119711,-84.261063,6,5,"3,531","$499,900 ","6 bed, 5 bath townhouse in 13850 Belleterre Dr",29.54190838,29.04225092,32.15534824,0.48955305,Fulton
2194 Baywood Dr SE,33.689847,-84.3884,4,1,"1,105","$62,440 ","4 bed, 1 bath townhouse in 2194 Baywood Dr SE",13.2473458,12.85835519,8.153740356,2.968322886,Fulton
2028 Arlington Cir NW,33.770615,-84.453479,3,2,"1,160","$48,505 ","3 bed, 2 bath townhouse in 2028 Arlington Cir NW",12.77654256,12.32189971,8.379034529,3.449275158,Fulton
3294 Wellington Walk SW,33.659782,-84.517029,4,2.5,"1,840","$180,000 ","4 bed, 2.5 bath townhouse in 3294 Wellington Walk SW",20.27990357,21.66559579,15.56647313,1.897136457,Fulton
905 Woodsmith Ln,34.051227,-84.180732,5,5.5,"3,775","$650,000 ","5 bed, 5.5 bath townhouse in 905 Woodsmith Ln",24.26529727,26.64676375,30.60900536,0.492939689,Fulton
584 Greyhawk Way,33.586711,-84.639685,5,4,"3,309","$259,900 ","5 bed, 4 bath townhouse in 584 Greyhawk Way",33.6506304,36.34669549,31.87383357,0.640714954,Fulton
12170 Mountain Laurel Dr,34.079849,-84.398391,4,4,"4,430","$499,000 ","4 bed, 4 bath townhouse in 12170 Mountain Laurel Dr",24.37522137,24.83215155,27.63789772,0.611127771,Fulton
3621 Vinings Slope SE,33.862793,-84.472327,2,2.5,"1,868","$332,900 ","2 bed, 2.5 bath townhouse in 3621 Vinings Slope SE",17.34968966,11.98933888,13.51709619,1.508699273,Fulton
5253 Newport Bay Psge,34.080368,-84.205574,6,5,"3,369","$550,000 ","6 bed, 5 bath townhouse in 5253 Newport Bay Psge",25.88669146,28.37165195,31.27151398,0.488676601,Fulton
5793 Antelope Trl,33.597014,-84.438359,3,2.5,"1,280","$91,900 ","3 bed, 2.5 bath townhouse in 5793 Antelope Trl",17.75944547,17.44236401,14.17324414,1.246863028,Fulton
805 Peachtree St NE,33.776454,-84.383911,2,2,"1,445","$410,000 ","2 bed, 2 bath townhouse in 805 Peachtree St NE",13.27913612,2.294555787,5.679367683,5.378613695,Fulton
4578 Campbellton Rd SW,33.694362,-84.538017,3,1.5,"1,401","$83,500 ","3 bed, 1.5 bath townhouse in 4578 Campbellton Rd SW",20.56404359,21.5980728,16.43191745,1.629543831,Fulton
250 Pharr Rd NE,33.837654,-84.3787,1,1,800,"$235,000 ","1 bed, 1 bath townhouse in 250 Pharr Rd NE",14.81999411,8.653471317,8.901465865,3.183604528,Fulton
13830 Belleterre Dr,34.119736,-84.260209,5,3.5,"4,352","$539,000 ","5 bed, 3.5 bath townhouse in 13830 Belleterre Dr",29.56166471,29.08401808,32.18763241,0.488980745,Fulton
185 Brightmore Way,34.080197,-84.187298,5,4.5,"3,315","$415,000 ","5 bed, 4.5 bath townhouse in 185 Brightmore Way",27.0038496,28.99309326,32.45644546,0.472895728,Fulton
2830 Wyngate Dr NW,33.831661,-84.400428,7,7.5,"7,476","$1,995,000 ","7 bed, 7.5 bath townhouse in 2830 Wyngate Dr NW",15.07199902,8.295027425,9.000346589,2.727427533,Fulton
78 Alps Ct,33.55983,-84.570068,3,2.5,"1,214","$135,000 ","3 bed, 2.5 bath townhouse in 78 Alps Ct",29.16744245,32.20661864,26.70232872,0.75810155,Fulton
7388 Toccoa Cir,33.547451,-84.53543,4,2.5,"2,907","$189,900 ","4 bed, 2.5 bath townhouse in 7388 Toccoa Cir",28.38509682,30.40164498,24.81892132,0.803731657,Fulton
1152 Spring Valley Ln NE,33.792068,-84.34922,5,5,"4,080","$1,174,000 ","5 bed, 5 bath townhouse in 1152 Spring Valley Ln NE",13.15920092,5.654350304,7.753090561,2.767846364,Fulton
1136 Clifton Rd NE,33.785339,-84.325469,3,3,"2,495","$612,000 ","3 bed, 3 bath townhouse in 1136 Clifton Rd NE",12.79510546,5.405687298,8.667507583,2.089078639,Fulton
1055 Bellevue Dr NE,33.786232,-84.352684,3,2,"1,557","$600,000 ","3 bed, 2 bath townhouse in 1055 Bellevue Dr NE",13.19034786,5.562535217,7.465445334,3.059783194,Fulton
315 Virginia Gln,34.133595,-84.331917,5,5.5,"6,012","$715,000 ","5 bed, 5.5 bath townhouse in 315 Virginia Gln",29.61692033,28.34182748,32.11659787,0.509096081,Fulton
4907 Rapahoe Trl,33.624282,-84.551383,5,3,"2,802","$203,895 ","5 bed, 3 bath townhouse in 4907 Rapahoe Trl",24.56826004,26.54621076,20.54031059,1.025804681,Fulton
9075 Martin Rd,34.001609,-84.317743,5,4.5,"4,444","$409,000 ","5 bed, 4.5 bath townhouse in 9075 Martin Rd",19.08570751,17.96767533,18.71802367,0.745408962,Fulton
760 Bethany Green Ct,34.120689,-84.282295,6,5.5,"4,628","$664,900 ","6 bed, 5.5 bath townhouse in 760 Bethany Green Ct",29.16021673,28.14683739,31.6058019,0.501419489,Fulton
4860 Riverlake Dr,33.990883,-84.210449,6,6,"4,285","$589,900 ","6 bed, 6 bath townhouse in 4860 Riverlake Dr",21.31104217,22.64231126,23.39768989,0.595970448,Fulton
9030 Riverbend Mnr,33.983799,-84.269157,3,2.5,"2,904","$494,000 ","3 bed, 2.5 bath townhouse in 9030 Riverbend Mnr",20.12009952,18.91406117,17.53208283,0.708495656,Fulton
280 Old Ivy Rd NE,33.85601,-84.378143,7,6.5,"9,232","$2,000,000 ","7 bed, 6.5 bath townhouse in 280 Old Ivy Rd NE",14.90279568,9.641361171,9.347129604,2.537717243,Fulton
250 Pharr Rd NE,33.837181,-84.378967,1,1,790,"$199,900 ","1 bed, 1 bath townhouse in 250 Pharr Rd NE",14.7375778,8.62118714,8.888459762,3.174994485,Fulton
1012 Braemar Ave SW,33.728347,-84.495033,4,3,"1,764","$200,000 ","4 bed, 3 bath townhouse in 1012 Braemar Ave SW",15.52417576,16.18956411,10.8695606,2.303798373,Fulton
745 Olde Clubs Dr,33.9931,-84.261773,5,3.5,"3,484","$484,900 ","5 bed, 3.5 bath townhouse in 745 Olde Clubs Dr",20.55450269,20.00698701,19.30378741,0.676705994,Fulton
903 Sandringham Dr,34.100498,-84.266525,2,2,"1,320","$160,000 ","2 bed, 2 bath townhouse in 903 Sandringham Dr",27.56489839,27.07599066,30.12786277,0.515660138,Fulton
410 Oak Hollow Ct,34.107135,-84.296226,7,5,"5,723","$625,000 ","7 bed, 5 bath townhouse in 410 Oak Hollow Ct",27.3007678,25.99769052,29.96674827,0.526795004,Fulton
510 Merroway Ct,34.04052,-84.252897,6,5,"3,286","$544,900 ","6 bed, 5 bath townhouse in 510 Merroway Ct",22.71989733,23.47618132,24.84316419,0.584368734,Fulton
1787 Stanton Rd SW,33.706799,-84.444402,3,2,"1,926","$82,900 ","3 bed, 2 bath townhouse in 1787 Stanton Rd SW",14.17234134,13.68314782,7.439139582,2.972689424,Fulton
3510 Roswell Rd NW,33.850578,-84.384391,2,2,"1,176","$136,000 ","2 bed, 2 bath townhouse in 3510 Roswell Rd NW",15.72348459,9.431162919,9.528289473,2.857409014,Fulton
3599 Saturn Dr NW,33.775856,-84.506019,3,1,925,"$63,500 ","3 bed, 1 bath townhouse in 3599 Saturn Dr NW",14.25885304,11.82611275,12.67697742,2.239182093,Fulton
650 Ira St SW,33.737186,-84.399711,5,4,"2,440","$189,900 ","5 bed, 4 bath townhouse in 650 Ira St SW",11.04829858,8.769489507,5.456422903,5.01705732,Fulton
981 Davis Dr,33.885754,-84.422966,7,8.5,"15,172","$10,000,000 ","7 bed, 8.5 bath townhouse in 981 Davis Dr",17.38276364,11.86485592,12.86931173,1.552002252,Fulton
2795 Peachtree Rd NE,33.830844,-84.385261,1,1.5,"1,118","$299,000 ","1 bed, 1.5 bath townhouse in 2795 Peachtree Rd NE",14.79859811,8.079688926,8.562057345,3.095967358,Fulton
943 Peachtree St NE,33.780174,-84.383652,2,2,"1,046","$365,000 ","2 bed, 2 bath townhouse in 943 Peachtree St NE",13.4742433,3.615154078,5.663067724,5.316950275,Fulton
1968 Enon Rd SW,33.697864,-84.547966,6,5,"8,473","$799,000 ","6 bed, 5 bath townhouse in 1968 Enon Rd SW",21.47159811,22.27306269,17.54847511,1.429359302,Fulton
730 Conway Glen Dr NW,33.866744,-84.411888,5,6.5,"10,000","$2,295,000 ","5 bed, 6.5 bath townhouse in 730 Conway Glen Dr NW",16.62326581,10.35484365,11.36810089,1.888346396,Fulton
502 Johnston Ave,33.522393,-84.670991,3,2,"1,652","$147,900 ","3 bed, 2 bath townhouse in 502 Johnston Ave",37.36963909,42.87068284,38.42678257,0.522107411,Fulton
2828 Peachtree Rd NW,33.832908,-84.385345,2,2,"1,371","$350,000 ","2 bed, 2 bath townhouse in 2828 Peachtree Rd NW",14.89883586,8.258405502,8.718758291,3.097531664,Fulton
460 Saddlebrook Dr,34.06862,-84.36498,6,4,"2,714","$499,900 ","6 bed, 4 bath townhouse in 460 Saddlebrook Dr",23.78097415,22.69040864,25.93351583,0.625996594,Fulton
4907 Rapahoe Trl,33.624279,-84.551383,5,3,"2,802","$203,895 ","5 bed, 3 bath townhouse in 4907 Rapahoe Trl",24.56840141,26.54638552,20.54043555,1.025791777,Fulton
420 Ansher Ct,34.089112,-84.405537,6,7.5,"4,767","$975,000 ","6 bed, 7.5 bath townhouse in 420 Ansher Ct",25.69947616,25.77782132,28.6764985,0.594156139,Fulton
12900 New Providence Rd,34.096746,-84.362017,3,1.5,"1,498","$225,000 ","3 bed, 1.5 bath townhouse in 12900 New Providence Rd",26.12723502,25.02563505,28.61612552,0.573680301,Fulton
3311 W Roxboro Rd NE,33.844857,-84.348614,5,4,"3,079","$475,000 ","5 bed, 4 bath townhouse in 3311 W Roxboro Rd NE",14.71073126,8.85379315,8.08817869,2.113626949,Fulton
4180 Bellflower Dr,34.066295,-84.235394,6,5,"3,772","$513,000 ","6 bed, 5 bath townhouse in 4180 Bellflower Dr",23.35744148,26.10542375,28.25240523,0.531465287,Fulton
488 Monument Ave SE,33.740717,-84.340937,2,1.5,"1,565","$230,000 ","2 bed, 1.5 bath townhouse in 488 Monument Ave SE",11.80524007,9.243203052,8.421236098,2.950020338,Fulton
4673 Ivygate Cir SE,33.843018,-84.486015,3,3.5,"3,042","$379,000 ","3 bed, 3.5 bath townhouse in 4673 Ivygate Cir SE",16.67022312,12.07136971,13.96947807,1.588180891,Fulton
375 Chelsea Cir NE,33.785357,-84.315684,5,3,"1,629","$550,000 ","5 bed, 3 bath townhouse in 375 Chelsea Cir NE",12.08992068,5.834670298,8.691678767,1.863289142,Fulton
1001 W Paces Ferry Rd NW,33.850871,-84.417688,7,11,"18,200","$4,900,000 ","7 bed, 11 bath townhouse in 1001 W Paces Ferry Rd NW",16.2469582,8.497450051,10.62340528,2.123483475,Fulton
280 Crooked Stick Dr,34.122543,-84.359108,6,7.5,"6,247","$1,600,000 ","6 bed, 7.5 bath townhouse in 280 Crooked Stick Dr",28.58584002,27.50465562,31.07369732,0.532882904,Fulton
2090 Double Creek Ln,34.123573,-84.299113,6,5.5,"3,207","$550,000 ","6 bed, 5.5 bath townhouse in 2090 Double Creek Ln",29.09085957,27.75473892,31.51579958,0.507217141,Fulton
765 Fairbrook Ln,34.076945,-84.383476,3,2.5,"3,056","$549,500 ","3 bed, 2.5 bath townhouse in 765 Fairbrook Ln",24.19723562,24.13683011,27.03430605,0.614804462,Fulton
1417 Wessyngton Rd NE,33.793364,-84.355273,5,4.5,"4,352","$1,449,000 ","5 bed, 4.5 bath townhouse in 1417 Wessyngton Rd NE",13.16721414,5.772466351,7.542168061,3.021835687,Fulton
8725 Sawgrass Way,34.071191,-84.134987,4,5.5,"10,146","$1,299,000 ","4 bed, 5.5 bath townhouse in 8725 Sawgrass Way",29.21376168,30.25221597,35.69892362,0.435152454,Fulton
1138 Bouldercrest Dr SE,33.723499,-84.331665,3,2,"1,400","$258,900 ","3 bed, 2 bath townhouse in 1138 Bouldercrest Dr SE",10.02487189,11.22219634,9.260999056,2.285568103,Fulton
3750 Schooner Rdg,34.077572,-84.217484,5,5.5,"5,124","$1,198,000 ","5 bed, 5.5 bath townhouse in 3750 Schooner Rdg",24.92346021,27.70151017,30.29919238,0.502079364,Fulton
6440 Spinnaker Ln,34.080582,-84.235924,3,2.5,"2,991","$849,000 ","3 bed, 2.5 bath townhouse in 6440 Spinnaker Ln",25.52801104,27.11123549,29.54975889,0.515063212,Fulton
2521 Constance St,33.686225,-84.424503,4,2,"1,807","$149,000 ","4 bed, 2 bath townhouse in 2521 Constance St",13.99484467,8.936876779,7.57343388,2.758442253,Fulton
4313 Caveat Ct,33.63948,-84.628868,4,5,"5,097","$363,500 ","4 bed, 5 bath townhouse in 4313 Caveat Ct",31.69369412,32.51182093,28.23877721,0.732388628,Fulton
2660 Peachtree Rd NW,33.827468,-84.388244,3,3,"3,206","$1,235,000 ","3 bed, 3 bath townhouse in 2660 Peachtree Rd NW",14.73628315,7.699368345,8.198327872,3.047053245,Fulton
530 Stonebury Dr,34.072173,-84.218132,5,5.5,"5,309","$629,000 ","5 bed, 5.5 bath townhouse in 530 Stonebury Dr",23.89987598,27.27930463,29.78125864,0.508437971,Fulton
55 Pharr Rd NW,33.837421,-84.384216,1,1,648,"$76,000 ","1 bed, 1 bath townhouse in 55 Pharr Rd NW",15.10879345,8.615902626,8.987537927,3.144537466,Fulton
790 Landrum Rd,34.111237,-84.335304,5,4.5,"4,744","$950,000 ","5 bed, 4.5 bath townhouse in 790 Landrum Rd",26.07524097,25.73056816,29.93268033,0.541150458,Fulton
120 Boulder Dr,34.013027,-84.399818,4,3.5,"4,665","$499,900 ","4 bed, 3.5 bath townhouse in 120 Boulder Dr",20.67248985,19.7834338,21.48724863,0.773718294,Fulton
2359 Polaris Way SW,33.691112,-84.61882,2,2.5,"1,450","$128,900 ","2 bed, 2.5 bath townhouse in 2359 Polaris Way SW",28.89922273,29.05732756,25.78087948,0.823432017,Fulton
1970 Wynridge Lndg,34.097034,-84.221313,5,3,"3,590","$450,000 ","5 bed, 3 bath townhouse in 1970 Wynridge Lndg",27.8183581,29.0120804,31.81907741,0.485166751,Fulton
520 Society St,34.043422,-84.274665,5,4.5,"3,775","$699,000 ","5 bed, 4.5 bath townhouse in 520 Society St",21.54877436,22.29931391,24.15570662,0.604261957,Fulton
3325 Piedmont Rd NE,33.845157,-84.371513,2,3,"1,932","$699,900 ","2 bed, 3 bath townhouse in 3325 Piedmont Rd NE",15.38224502,9.083334717,8.544907595,3.199038667,Fulton
9340 Riverclub Pkwy,34.005798,-84.184555,3,2.5,"3,428","$495,000 ","3 bed, 2.5 bath townhouse in 9340 Riverclub Pkwy",22.59187851,23.24406594,26.85679596,0.541585631,Fulton
1655 Niskey Lake Rd SW,33.709754,-84.535072,5,3.5,"2,991","$425,300 ","5 bed, 3.5 bath townhouse in 1655 Niskey Lake Rd SW",19.76155047,20.51538241,15.55469216,1.679062498,Fulton
2716 Rollingwood Ln SE,33.707412,-84.314101,3,1.5,"1,232","$119,900 ","3 bed, 1.5 bath townhouse in 2716 Rollingwood Ln SE",12.51747393,13.48112747,10.85147189,1.678797859,Fulton
3150 Woodwalk Dr SE,33.909414,-84.460793,2,2,"1,332","$200,000 ","2 bed, 2 bath townhouse in 3150 Woodwalk Dr SE",18.02415574,13.10632881,15.96661909,1.195334434,Fulton
464 Trabert Ave NW,33.794472,-84.402977,5,4,"3,300","$789,900 ","5 bed, 4 bath townhouse in 464 Trabert Ave NW",14.46675549,7.129835718,6.833401451,4.299851318,Fulton
3795 Cypress Pointe Dr,33.578792,-84.544334,3,2.5,"1,879","$65,000 ","3 bed, 2.5 bath townhouse in 3795 Cypress Pointe Dr",25.78454325,28.82292359,22.88732911,0.879610181,Fulton
12925 Heydon Hall,34.097877,-84.373542,5,5.5,"6,812","$1,125,000 ","5 bed, 5.5 bath townhouse in 12925 Heydon Hall",26.50040586,25.56438712,28.85743945,0.574898067,Fulton
359 W Wieuca Rd NE,33.873735,-84.376327,5,5,"3,800","$849,900 ","5 bed, 5 bath townhouse in 359 W Wieuca Rd NE",16.44816625,10.1522642,9.0433876,1.916664425,Fulton
2790 Glaston Way,34.101917,-84.278549,3,3,"2,283","$288,000 ","3 bed, 3 bath townhouse in 2790 Glaston Way",27.33020781,26.49792029,29.8861475,0.522284771,Fulton
785 Falling Rocks Ct,33.997443,-84.300352,4,4.5,"4,828","$479,000 ","4 bed, 4.5 bath townhouse in 785 Falling Rocks Ct",19.61432853,18.21272446,18.21045013,0.730624395,Fulton
10960 Donamere Dr,34.041931,-84.208435,5,3.5,"3,180","$408,800 ","5 bed, 3.5 bath townhouse in 10960 Donamere Dr",20.66715999,25.49463575,27.78816392,0.531825862,Fulton
825 Old Rucker Rd,34.07843,-84.337882,5,4.5,"7,293","$949,500 ","5 bed, 4.5 bath townhouse in 825 Old Rucker Rd",24.35146714,21.04944886,26.70823277,0.595120842,Fulton
